id,ABBR,name,state_id,market_id
291,Bkln,Brooklyn,32,204
292,Astr,Astoria,32,204
293,Trrc,Tarrytown,32,204
294,Brnx,Bronx,32,204
295,Mltn,Milton,32,205
296,Rstn,Roseton,32,205
297,NwWn,New Windsor,32,205
298,Kgst,Kingston,32,205
299,Rchs,Rochester,32,206
300,Brwt,Brewerton,32,207
301,Syrc,Syracuse,32,207
302,Wrnr,Warners,32,207
303,Bldw,Baldwinsville,32,207
304,Mrcy,Marcy,32,208
305,Utca,Utica,32,208
306,Bryn,Bryan,35,209
307,Cntn,Canton,35,210
308,Akrn,Akron,35,210
309,Mgdr,Mogadore,35,210
310,Brml,Bromley,17,211
311,Ccnn,Cincinnati,35,211
312,Auro,Aurora,35,212
313,Cyhg,Cuyahoga Heights,35,212
314,Clvl,Cleveland,35,212
315,Brcv,Brecksville,35,212
316,CoOH,Columbus,35,213
317,Amli,Amlin,35,213
318,Heth,Heath,35,213
319,Dytn,Dayton,35,214
320,Lebn,Lebanon,35,215
321,Lima,Lima,35,216
322,Fdly,Findlay,35,216
323,Lorn,Lorain,35,217
324,Prkb,Parkersburg,48,218
325,Mrta,Marietta,35,218
326,Scvl,Sciotoville,35,219
327,Tffn,Tiffin,35,220
328,Orgn,Oregon,35,221
329,Tldo,Toledo,35,221
330,Yngs,Youngstown,35,222
331,Ardm,Ardmore,36,223
332,OKCy,Oklahoma City,36,226
333,Shwn,Shawnee,36,228
334,Jnks,Jenks,36,229
335,Tlsa,Tulsa,36,229
336,Trpn,Turpin,36,230
337,Ptld,Portland,37,233
338,Vncr,Vancouver,47,233
339,Umtl,Umatilla,37,234
340,Whll,Whitehall,38,235
341,Tlfd,Telford,38,242
342,Allt,Allentown,38,235
343,Fllr,Fullerton,38,235
344,Tmqa,Tamaqua,38,235
345,Altn,Altoona,38,236
346,Dncv,Duncansville,38,236
347,Eldr,ElDorado,38,236
348,Dlmt,Delmont,38,237
349,Hrsb,Harrisburg,38,238
350,Hspr,Highspire,38,238
351,Mchb,Mechanicsburg,38,238
352,Nrmb,Northumberland,38,240
353,Rsvl,Rouseville,38,241
354,Phld,Philadelphia,38,242
355,Pnsk,Pennsauken,30,242
