ID,TCN,NAME,ABBR,RACK_ID,city_id
1028,T-63-AL-2323,Vecenergy,Vecenergy,5,10
1187,T-65-FL-2160,Marathon Petroleum Corporation North,MarathonN,39,71
2464,D-00-CA-2464,Zone Pricing,Zone,24,1321
2943,D-00-IL-2943,Superior Fuels Inc,SFI,76,125
3126,D-00-QC-3126,International Matex Tank Terminal Canada,IMTT CA,355,1014
3300,T-71-AR-2469,OakMar Terminal LLC,OakMar,9,15
3148,D-00-MA-3148,Private Terminal,PVT TERM,121,183
3162,T-88-NV-4365,Holly Refining and Marketing,Holly,196,1322
3168,D-00-CA-3168,Crimson Renewable Energy LP,Crimson,18,23
3178,D-00-MA-3178,Leominster Ice,Lmnstr Ice,121,1323
3186,D-00-CA-3186,Zone Pricing,Zone,25,1324
3216,D-00-NJ-3216,PBF Holding Company LLC South,PBF South,190,266
3243,D-00-ME-3243,Cenex Harvest States,Cenex,126,1325
3251,T-76-TX-2820,Vopak Terminal,Volpak,287,879
3262,D-00-GA-3262,Amerigas,Amerigas,48,83
3441,D-00-NJ-3441,Kinder Morgan Energy Partners,KMEP,189,261
3448,D-00-IN-3448,Buckeye,Buckeye,86,1326
3456,D-00-UT-3456,Golden Eagle Refinery,GoldEglRef,298,436
3464,D-00-WY-3464,Phillips 66 Company PSX,PSX,321,1147
3472,T-75-TX-2673,Allied,Allied,276,408
3481,T-CA-00-0087,Valero Energy - Canada,Valero CA,433,1327
3488,T-CA-000077,ESSO - Canada,ESSO CA,337,1328
3496,D-00-CA-3496,Zone Pricing,Zone,25,1329
3518,D-00-AZ-3518,Plains Pipelines TIMS,Plains TMS,12,1330
