MARKET_ID,NAME,PADD,MARKET,STATE_ID
389,Watkins Glen,1,"Watkins Glen, NY",32
390,Coshocton,2,"Coshocton, OH",35
391,Todhunter,2,"Todhunter, OH",35
392,Calumet,2,"Calumet, OK",36
393,DuBois,1,"DuBois, PA",38
394,Eagle,1,"Eagle, PA",38
395,Cheraw,1,"Cheraw, SC",40
396,Lexington,1,"Lexington, SC",40
398,Borger,3,"Borger, TX",43
399,Bridgeport,3,"Bridgeport, TX",43
400,Mont Belvieu,3,"Mont Belvieu, TX",43
401,Janesville,2,"Janesville, WI",49
402,Bushton,2,"Bushton, KS",16
403,Eagle Lake,2,"Eagle Lake, MN",23
404,Hilo,5,"Hilo, HI",11
405,Kahului,5,"Kahului, HI",11
406,Eleele,5,"Eleele, HI",11
407,Rapid River,2,"Rapid River, MI",22
408,Fairbanks,5,"Fairbanks, AK",2
409,Midland,1,"Midland, PA",38
411,Holland,2,"Holland, MI",22
412,Seymour,2,"Seymour, IN",14
413,Tirzah,1,"Tirzah, SC",40
415,Council Bluffs/Omaha,2,"Council Bluffs, IA",15
416,Houston/Pasadena,3,"Houston/Pasadena, TX",43
418,Hartford Woodriver/St.Louis,2,"Hartford Woodriver, IL",13
423,Flagstaff,5,"Flagstaff, AZ",3
424,Kingsland,3,"Kingsland, AR",4
425,Light,3,"Light, AR",4
429,Sault Ste. Marie,2,"Sault Ste. Marie, ON",66
430,Hamilton,2,"Hamilton, ON",66
431,Nanticoke,2,"Nanticoke, ON",66
432,Nanaimo,5,"Nanaimo, BC",61
433,St. John's,1,"St. John's, NL",64
434,Charlottetown,1,"Charlottetown, PE",67
435,Marysville,2,"Marysville, MI",22
438,Morgan City,3,"Morgan City, LA",18
439,Layfayette,2,"Layfayette, IN",14
444,Bellevue,2,"Bellevue, OH",35
453,Chatham,1,"Chatham, NB",63
454,Hay River,4,"Hay River, NT",70
455,Maitland,1,"Maitland, ON",66
456,Prince George,5,"Prince George, BC",61
458,Saskatoon,4,"Saskatoon, SK",69
459,Terrace Bay,2,"Terrace Bay, ON",66
460,Hobbs,3,"Hobbs, NM",31
462,Green Springs,2,"Green Springs, OH",35
464,Americus,1,"Americus, GA",10
473,Kingman,5,"Kingman, AZ",3
474,Winslow,5,"Winslow, AZ",3
475,Carlin,5,"Carlin, NV",28
476,Gretna,2,"Gretna, MB",62
477,Belleville,1,"Belleville, ON",66
478,Kingston,1,"Kingston, ON",66
480,Sept-Iles,1,"Sept-Iles, QC",68
481,Sergeant Bluff,2,"Sergeant Bluff, IA",15
482,Ralston,2,"Ralston, IA",15
492,Duluth MN/Superior,2,"Duluth MN/Superior, WI",49
494,Brewster,2,"Brewster, MN",23
495,Redwood Falls,2,"Redwood Falls, MN",23
496,Albert Lea,2,"Albert Lea, MN",23
497,Halsey,2,"Halsey, NE",27
498,Gulf Coast Dallas,3,"Gulf Coast Dallas, TX",43
499,Prudhoe Bay,5,"Prudhoe Bay, AK",2
500,Iowa Falls,2,"Iowa Falls, IA",15
554,Sheffield,3,"Sheffield, AL",1
555,Jonesboro,3,"Jonesboro, AR",4
558,Rapid City,3,"Rapid City, MB",62
559,Fort Lupton,4,"Fort Lupton, CO",6
560,Medford,2,"Medford, OK",36
561,Erie,1,"Erie, PA",38
569,Boligee,3,"Boligee, AL",1
571,Hugoton,2,"Hugoton, KS",16
592,Sydney,1,"Sydney, NS",65
593,Fort McMurray,4,"Fort McMurray, AB",60
594,Cedar City,4,"Cedar City, UT",44
605,Puerto Rico,1,"Puerto Rico, PR",71
607,Kaunakakai,5,"Kaunakakai, HI",11
